City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
1246,Parauna,BR,2020-03-03 01:26:48,-16.95,-50.45,68.14,93,82,6.38
1247,Tanhacu,BR,2020-03-03 01:26:49,-14.02,-41.25,79.83,56,90,8.79
1248,Busselton,AU,2020-03-03 01:22:37,-33.65,115.33,75.99,33,0,12.68
1249,Hobart,AU,2020-03-03 01:21:43,-42.88,147.33,63.0,45,75,6.93
1250,Hobart,AU,2020-03-03 01:21:43,-42.88,147.33,63.0,45,75,6.93
1251,Esperance,AU,2020-03-03 01:22:36,-33.87,121.9,62.6,67,90,9.17
1252,Ipira,BR,2020-03-03 01:26:50,-12.16,-39.74,79.29,65,4,10.22
1253,Busselton,AU,2020-03-03 01:22:37,-33.65,115.33,75.99,33,0,12.68
1254,Punta Arenas,CL,2020-03-03 01:22:30,-53.15,-70.92,53.6,71,40,5.82
1255,Severomuysk,RU,2020-03-03 01:26:50,56.15,113.43,-12.12,95,17,1.5
1256,Utete,TZ,2020-03-03 01:26:51,-7.99,38.76,74.25,97,100,3.74
1257,Ostrovnoy,RU,2020-03-03 01:23:33,68.05,39.51,12.25,97,72,9.57
1258,Moree,AU,2020-03-03 01:26:51,-29.47,149.85,89.6,40,100,10.29
1259,Vaini,TO,2020-03-03 01:22:29,-21.2,-175.2,86.0,70,20,10.29
1260,Custodia,BR,2020-03-03 01:26:51,-8.09,-37.64,75.29,81,22,7.49
1261,Iqaluit,CA,2020-03-03 01:24:39,63.75,-68.51,-2.0,77,90,4.7
1262,New Norfolk,AU,2020-03-03 01:18:15,-42.78,147.06,64.0,45,75,4.7
1263,Lensk,RU,2020-03-03 01:26:52,60.73,114.93,-2.94,99,90,4.81
1264,Mahebourg,MU,2020-03-03 01:22:29,-20.41,57.7,80.6,94,75,3.36
1265,Avarua,CK,2020-03-03 01:22:40,-21.21,-159.78,84.2,83,10,6.93
1266,Whitehorse,CA,2020-03-03 01:22:59,60.72,-135.05,35.6,40,75,4.7
1267,New Norfolk,AU,2020-03-03 01:18:15,-42.78,147.06,64.0,45,75,4.7
1268,Hinton,CA,2020-03-03 01:26:53,53.4,-117.59,32.94,71,37,9.91
1269,Albany,US,2020-03-03 01:22:33,42.6,-73.97,53.6,37,90,8.05
1270,Bredasdorp,ZA,2020-03-03 01:22:37,-34.53,20.04,69.01,93,23,4.7
1271,Busselton,AU,2020-03-03 01:22:37,-33.65,115.33,75.99,33,0,12.68
1272,Helmsdale,GB,2020-03-03 01:26:54,58.12,-3.65,42.8,75,75,4.7
1273,Gandai,IN,2020-03-03 01:26:54,21.67,81.1,70.21,42,0,4.83
1274,Ciudad Bolivar,VE,2020-03-03 01:26:54,8.12,-63.55,84.56,42,35,13.13
1275,Sao Filipe,CV,2020-03-03 01:22:56,14.9,-24.5,75.88,52,0,15.28
