City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
147,Sur,OM,81.45,Clear,22.57,59.53,Sur Plaza Hotel
148,Cape Town,ZA,64.0,Clear,-33.93,18.42,Southern Sun Waterfront Cape Town
151,Bousso,TD,77.97,Clear,10.48,16.71,
152,Boddam,GB,37.4,Rain,57.47,-1.78,Palace Hotel
153,Punta Arenas,CL,50.0,Clouds,-53.15,-70.92,Hotel Dreams Del Estrecho
154,Cairns,AU,89.6,Clouds,-16.92,145.77,Mantra Trilogy Cairns
155,Kodiak,US,21.2,Clear,57.79,-152.41,Mission Lake Bed and Breakfast
157,Mansehra,PK,61.34,Clear,34.33,73.2,Pine Park Hotel & Resorts
158,Lebu,CL,51.55,Clear,-37.62,-73.65,Hostal Las Lilas
161,Katsuura,JP,64.0,Clouds,35.13,140.3,Katsuura Hotel Mikazuki
162,New Norfolk,AU,66.99,Clouds,-42.78,147.06,The Shingles Riverside Cottages
163,Kamenka,RU,32.0,Clouds,51.32,42.77,
164,Carnarvon,AU,91.4,Clear,-24.87,113.63,Hospitality Carnarvon
166,New Norfolk,AU,66.99,Clouds,-42.78,147.06,The Shingles Riverside Cottages
167,Cidreira,BR,72.25,Clouds,-30.18,-50.21,Novomar Pousada e Turismo Ltda
168,Lebu,CL,51.55,Clear,-37.62,-73.65,Hostal Las Lilas
169,Lipari,IT,57.99,Clouds,38.47,14.95,Hotel Villa Augustus
170,Nikolskoye,RU,32.0,Clouds,59.7,30.79,Tourist House - Sablino
171,Haines Junction,CA,11.91,Clouds,60.75,-137.51,Parkside Inn
173,Punta Arenas,CL,50.0,Clouds,-53.15,-70.92,Hotel Dreams Del Estrecho
174,Port Alfred,ZA,66.99,Clear,-33.59,26.89,The Halyards Hotel
176,Bambous Virieux,MU,84.0,Rain,-20.34,57.76,Casa Tia Villa
177,Harper,LR,76.71,Clouds,4.38,-7.72,Cape View Guest House
178,Puerto Ayora,EC,80.01,Clear,-0.74,-90.35,Finch Bay Galapagos Hotel
179,Nelson Bay,AU,75.0,Clouds,-32.72,152.15,Mantra Nelson Bay
180,Namatanai,PG,86.7,Clouds,-3.67,152.43,Namatanai Hotel
181,San Ramon,US,66.2,Clear,37.78,-121.98,San Ramon Marriott
182,Terrace,CA,37.0,Clouds,54.52,-128.6,Northern Motor Inn
183,Obzor,BG,48.99,Clouds,42.82,27.88,Aquapark Sol LunaBay Resort
184,Puerto Ayora,EC,80.01,Clear,-0.74,-90.35,Finch Bay Galapagos Hotel
185,Bredasdorp,ZA,69.01,Clouds,-34.53,20.04,Bredasdorp Country Manor
186,Campbell River,CA,39.2,Mist,50.02,-125.24,Ramada by Wyndham Campbell River
187,Kununurra,AU,91.4,Clouds,-15.77,128.73,Hotel Kununurra
189,Saskylakh,RU,19.44,Clouds,71.92,114.08,Saskylakh Aeroport
190,Port Alfred,ZA,66.99,Clear,-33.59,26.89,The Halyards Hotel
192,Punta Arenas,CL,50.0,Clouds,-53.15,-70.92,Hotel Dreams Del Estrecho
194,Laguna,US,68.0,Clear,38.42,-121.42,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
